cell_ontology_class,platform,tissue,leiden_r1_0,n_cells
DN1 thymic pro-T cell,droplet,Spleen,8,0
DN1 thymic pro-T cell,droplet,Spleen,9,0
DN1 thymic pro-T cell,droplet,Spleen,12,0
DN1 thymic pro-T cell,droplet,Spleen,13,0
DN1 thymic pro-T cell,droplet,Spleen,15,0
DN1 thymic pro-T cell,droplet,Spleen,18,0
DN1 thymic pro-T cell,droplet,Spleen,19,0
DN1 thymic pro-T cell,droplet,Spleen,20,0
DN1 thymic pro-T cell,droplet,Spleen,21,0
DN1 thymic pro-T cell,droplet,Spleen,25,0
DN1 thymic pro-T cell,droplet,Spleen,28,0
DN1 thymic pro-T cell,droplet,Spleen,32,0
DN1 thymic pro-T cell,droplet,Spleen,33,0
DN1 thymic pro-T cell,droplet,Spleen,36,0
DN1 thymic pro-T cell,droplet,Spleen,38,0
DN1 thymic pro-T cell,droplet,Spleen,39,0
DN1 thymic pro-T cell,droplet,Spleen,42,0
DN1 thymic pro-T cell,droplet,Spleen,44,0
DN1 thymic pro-T cell,droplet,Spleen,49,0
DN1 thymic pro-T cell,droplet,Spleen,50,0
DN1 thymic pro-T cell,droplet,Spleen,53,0
DN1 thymic pro-T cell,droplet,Spleen,56,0
DN1 thymic pro-T cell,droplet,Thymus,0,0
DN1 thymic pro-T cell,droplet,Thymus,3,43
DN1 thymic pro-T cell,droplet,Thymus,4,0
DN1 thymic pro-T cell,droplet,Thymus,8,0
DN1 thymic pro-T cell,droplet,Thymus,9,1
DN1 thymic pro-T cell,droplet,Thymus,12,0
DN1 thymic pro-T cell,droplet,Thymus,13,0
DN1 thymic pro-T cell,droplet,Thymus,15,0
DN1 thymic pro-T cell,droplet,Thymus,18,0
DN1 thymic pro-T cell,droplet,Thymus,19,0
DN1 thymic pro-T cell,droplet,Thymus,20,0
DN1 thymic pro-T cell,droplet,Thymus,21,0
DN1 thymic pro-T cell,droplet,Thymus,25,0
DN1 thymic pro-T cell,droplet,Thymus,28,0
DN1 thymic pro-T cell,droplet,Thymus,32,0
DN1 thymic pro-T cell,droplet,Thymus,33,0
DN1 thymic pro-T cell,droplet,Thymus,36,0
DN1 thymic pro-T cell,droplet,Thymus,38,0
DN1 thymic pro-T cell,droplet,Thymus,39,0
DN1 thymic pro-T cell,droplet,Thymus,42,0
DN1 thymic pro-T cell,droplet,Thymus,44,0
DN1 thymic pro-T cell,droplet,Thymus,49,0
DN1 thymic pro-T cell,droplet,Thymus,50,0
DN1 thymic pro-T cell,droplet,Thymus,53,0
DN1 thymic pro-T cell,droplet,Thymus,56,0
T cell,FACS,Kidney,0,0
